CID,MolecularWeight,CanonicalSMILES,InChIKey,XLogP,Name,Targets
156422,527.7,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,MVCOAUNKQVWQHZ-UHFFFAOYSA-N,5.7,Doramapimod (BIRB 796),"ABCC2, 	ACTG2, ADH7, AHSG, AK5, APOA4, Akr1b7, C1QA, C1QB, Car3, CASP3, CD5L, CD74, CDK8, CEACAM1, CES3, CLEC1B, CTSS, CXCL1, CXCL10, CXCL8, CXCR1, CXCR2, Cyp2a4, Cyp2a5, Cyss, EGFR, EGR1, FCGR2B, FLT1, FLT4, G6pc, GCLC, GPX2, GRM8, GSK3B, GSTA1, GSTA2, GSTM2, GSTM3, H2-Ab1, HCK, HP, HPD, ICAM1, IL1B, KCNK1, KDR, LCK, LMOD1, LYN, MAP4K4, MAPK10, MAPK11, MAPK12, MAPK13, MAPK14, MAPK9, MEIG1, Mt1, MYBPC1, MYH11, MYH3, NQO1, NTRK2, NTRK3, PDGFRB, PRKD2, SRC, TNF, TYRO3, YES1"
3122,225.18,C(CCC(C(=O)O)N)CCP(=O)(O)O,MYDMWESTDPJANS-UHFFFAOYSA-N,-3.6,Dovitinib (CHIR-258),NR1I2
5287969,401.8,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,BIIVYFLTOXDAOV-YVEFUNNKSA-N,3.3,Flavopiridol,"PYGB, PYGL, PYGM, CDK7, CDK5, CDK9, CDK1, CDK6, EGFR, CDK4, CDK8, CDK2"
16723044,510.7,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=CC(=C3)CN4CCOCC4,OOSKXASFJFSOBK-UHFFFAOYSA-N,3.7,GDC-0941,"ABCA1, ADCY3, PARP1, AKT1, AMD1, BIRC5, AR, ARAF, AREG, ATP6V1C1, BACH1, BAD, BAX, CCND1, BCL2, BCL6, BID, BOK, BRAF, KLF9, BTG1, CA9, CARS1, CASP3, CASP9, RUNX2, CCNB1, CCND3, CCNE1, CCNG2, CCT6A, CDK1, CDC6, CDC25A, CDK7, CDKN1A, CDKN1B, CTSC, FOXN3, KLF6, CREM, CSF2, CTPS1, CTSB, CD55, DDIT3, DKC1, DLG2, E2F3, EGF, EGFR, EIF4B, EIF4EBP1, ELAVL1, ELF5, ENDOG, EPAS1, ERBB2, ERBB3, F12, ACSL1, FDX1, FEN1, FGFR3, FGFR2, FOXO1, FOXO3, FXN, MTOR, FTL, GALE, GATM, GNA12, SFN, NR3C1, GSK3B, MSH6, NRG1, HHEX, HIF1A, HK2, HMGCS2, HNRNPAB, PRMT1, DNAJA1, HSPA1B, HSPA8, HSPE1, ICAM3, IDH3A, IGF1, IL6, IL18, INSIG1, ITGAE, ITPR1, JAG2, JAK2, KRAS, AFF3, LAMP1, LDHA, LETM1, LGALS8, LRP4, TM4SF1, NBR1, SMAD1, MAN1A1, MCL1, MCM3, MCM4, MCM5, MCM6, MET, METTL1, MGP, ATXN3, MPL, MXI1, MYC, NOTCH1, NTRK1, NUMA1, P2RY2, PA2G4, PCNA, PDK1, PDK4, ATP8B1, PFKP, PGR, ABCB1, PIK3C2A, PIK3C2B, PIK3C2G, PIK3C3, PIK3CA, PIK3CB, PIM1, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PMAIP1, PNN, POLE2, PPM1G, PRKDC, MAPK1, MAPK3, MAPK8, MAP2K1, MAP2K2, MAP2K3, PRLR, KLK10, PSEN2, PSMD12, PSPH, PTEN, PTGER4, PYCR1, RB1, RBL2, RIT1, RORC, MRPL23, MRPL12, MRPS12, RPS6, RPS6KB1, RRM2, SCNN1G, SELENOP, SRSF2, SRSF7, SKP2, SLC1A5, SLC2A1, SLC7A1, SLC19A1, CAPN15, SP2, SP100, SPAG1, SRM, SRPK1, STAT3, STAT6, STK11, SYT1, TARS1, TCF19, TCOF1, THRA, THRB, THRSP, TNF, TP53, TRAF3, PHLDA2, TUBA4A, TUBG1, KDM6A, VEGFA, WEE1, WT1, YES1, ZNF33B, ZKSCAN1, ZYX, LRP8, TFEB, ACOX2, CDC7, H2AC6, H2AC17, H2BC8, H2BC21, H3C4, H3C10, H4C8, CUL4B, FOXN1, SORBS2, OGT, PIK3R3, DGKD, BHLHE40, KMO, YARS1, PDXK, ABCB11, IRS2, B4GALT2, B3GALNT1, TNFSF10, TSC22D1, CDK5R1, SKAP2, KYNU, CCNE2, NOLC1, MAGI1, MFHAS1, SRSF11, TRIP13, TCEAL1, LHX2, GSTO1, EEF1E1, GCC2, CEP135, MARF1, CEP57, BCLAF1, RB1CC1, GINS1, ZNF518A, RHOBTB1, NR1D2, SCO2, ABI1, BCL2L11, GJC1, ABCC5, ABCF2, COX17, PPIF, OPTN, AKAP9, FAM13A, RASA4, PSME3, EMC8, CITED2, ATP8A1, EMG1, N4BP2L2, VAV3, TOMM40, GPNMB, NOP56, SLU7, POLR3G, OGA, STAG2, SRSF10, NEK6, WDR4, HSPH1, BRD8, SMPDL3A, PNRC1, STIP1, SLC27A4, CCDC85B, KDELR3, ADRM1, WDR5, CDC42EP1, WDHD1, ZNF277, CHEK2, PHLDA1, HSPA4L, RHOBTB3, ATG14, KDM4B, PPRC1, DDN, JMJD6, SULF1, BOP1, ANKRD12, SASH1, SIRT1, NCS1, ICMT, SLC39A14, KAT6B, PIK3R5, TSPAN12, SGK3, SDF2L1, RAD54B, POU2F3, CCDC28A, MTHFD1L, FAM98A, SYF2, PNISR, LRIG1, ABCA12, EHF, PPP1R14B, CKAP2, HBP1, CHORDC1, NPHP3, CACYBP, AGO2, P2RY10, DEXI, NTMT1, ZBTB44, NDUFAF4, NXT1, PYCARD, FHOD1, UHRF1, BLNK, CARD10, SNX10, PSMC3IP, SAC3D1, HILPDA, OSGIN1, PSAT1, BAZ2B, PIK3R4, GLRX2, GMNN, SEPSECS, DCTN4, CRBN, KLF3, ARMCX1, TNFRSF12A, THEM6, UBR5, POP5, IP6K2, NOP16, DTL, YPEL5, PTRH2, GINS2, POLR3K, ZFYVE1, PANK1, C11orf24, RIN2, RBM47, EXOSC4, USP53, LZTFL1, GRAMD1C, MBTD1, KLHL24, PXK, NSD3, RPP25, HEATR3, PDPR, ATG2B, ARL8B, RCBTB1, PCMTD2, IMPACT, LRRC59, MCM10, DNAJA4, PRR5, SLC39A4, SYBU, LYAR, RADIL, EXOC1, H2AJ, KDM3A, ARHGAP15, ERBIN, ATOSA, DNAJC12, SMCO4, PMEPA1, TIGAR, JPH2, CLK4, TENM2, SERINC1, SEMA6A, ARRDC3, CALCOCO1, ANKRA2, GATAD1, SRPRB, RBM25, RRAGD, ENPP5, SAV1, C14orf93, MRPL17, PBLD, SNX16, DEPTOR, KLC2, MRPL14, NT5DC2, MRPS6, MARCKSL1, PYCR3, AUNIP, DCTPP1, CCDC86, LBHD1, SLC52A2, ICE2, ZNF750, CARF, LPCAT1, CYBRD1, MAP6D1, PHC3, CPEB4, PUS1, PRR7, KDM7A, MAP1LC3B, ARPC5L, SESN2, YPEL3, INHBE, ARID5B, CHD6, PSMG3, YIPF4, AKT1S1, TUBB6, LNX1, CBX2, LMNB2, FAM222A, LSM10, RERG, SMIM3, SNHG12, SCIN, RRP36, GADD45GIP1, N4BP2L1, UAP1L1, ACBD5, CCNQ, CHMP4C, H2AC25, SFXN1, TP53INP1, GLMP, AHNAK2, GLCCI1, HELQ, PIK3IP1, SLC2A13, CCDC85A, FBXO32, EPB41L4A-AS1, GPR146, ZMYND19, ABHD15, TLCD1, RPL39L, LRRK2, LRIG3, JMY, C6orf141, FGFBP3, EFCAB3, PIK3R6, METTL21A, CCNYL1, WDSUB1, TTC14, XXYLT1, PPM1K, CREBRF, RBM33, GPR180, SPRED1, SGMS2, CDC20B, TXLNB, TMEM64, FLCN, CENPX, TMEM192, ZCCHC24, FAM13C, JMJD1C, JAZF1, RICTOR, ZDHHC23, NEAT1, ANKRD52, PGP, NDUFAF8, ZNF875, FAM102B, C3orf70, DOK7, TRIQK, CCDC137, NANOS1, RBPMS2, RILPL1, IRF2BP2, MALAT1, NHLRC3, YPEL2, CHCHD10, TOMM5, CTXN1, SMCO3, CHAC2, SERTAD4-AS1, ACOT6, DNLZ, LINC00173, DSCAM-AS1"
11617559,366.4,COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC,MYQAUKPBNJWPIE-UHFFFAOYSA-N,2.6,GW-2580,"CSF1R, NTRK1, NTRK2, NTRK3"
3501,378.4,CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O,VWVYILCFSYNJHF-UHFFFAOYSA-N,3.2,Go6976,"ABCC2, APP, ATF2, AURKA, AURKB, BACE1, BLK, BTG2, CCNB1, CDC25C, CDK1, CDK2, CDK5, CHEK1, CHEK2, CHRNA5, CRH, CSF1R, CYP11A1, DYRK1A, EGFR, ELAVL1, ERBB2, FGFR1, FLT1, FLT3, FLT4, GAP43, GRP, GSK3A, GSK3B, HMOX1, HRAS, HSD3B1, IL1A, IL1B, IL2, IL6, INSR, IRAK4, ITK, JAK3, JUN, KDR, LCK, LIMK1, LYN, MAPK1, MAPK3, MAPK8, MAPK9, MARK2, MARK3, MMP9, NCF1, NFKB, NTS, PAK4, PARP1, PDPK1, PIM1, PLD1, PLD2, PLK1, PLK2, PLK3, PLK4, PRKACA, PRKCA, PRKCB, PRKCD, PRKCG, PRKCZ, PRKD1, PRKD2, PSEN1, PTGS2, RELA, ROCK1, ROCK2, RPS6KA3, RPS6KB1, SIRT1, SOD2, SRC, STS, TFF1, TNF, TNFRSF10B, TYK2, ULBP1, VCAM1, VDR, VEGFA"
3541,446.4,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br,ZKZXNDJNWUTGDK-UHFFFAOYSA-N,3.5,H-89,"PRKACA, PKIA, GSG2, EIF2AK2"
45375953,309.33,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N,GYLDXIAOMVERTK-UHFFFAOYSA-N,1.7,INK-128,"EIF4EBP1, RPS6KB1, EIF4E, HIF1A, HIF1A, FOXO1, MYC, VEGFA, TGF-?"
11625818,415.4,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,IFSDAJWBUCMOAH-HNNXBMFYSA-N,3.7,Idelalisib,PIK3CD
57339437,255.32,CC1=NC2=CN=C3C(=C2N1C4CCNCC4)C=CN3,XTQACRIFOIASKV-UHFFFAOYSA-N,1.3,JAK Inhibitor I,"AKT1, BCL2, CCL11, DAPK3, DSC1, DSG1, F3, F7, FLG, IDO1, IFNG, IL1B, IL27, IL4, IL6, JAK1, JAK1, JAK2, JAK-2, JAK3, KRT1, KRT10, OSM, PDK1, STAT1, STAT3, TYK2"
5330790,394.4,C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,KDKUVYLMPJIGKA-UHFFFAOYSA-N,2.4,JNJ-7706621,"ABL1, ACVR1, ALK, AURKA, AURKB, CAMKK2, CDK1, CDK2, CDK5, CDK7, CDK9, CLK2, CLK4, CSF1R, DAPK3, FGFR1, FLT1, GRK5, GSK3A, GSK3B, IRS1, JAK2, JAK3, KDR, KIT, LCK, LIMK1, LRRK2, MAP2K1, MAP2K2, MAP4K2, MAPK10, MAPK8, MARK3, MARK4, MELK, MET, MST1R, NTRK2, PAK4, PRKAA1, PRKD3, RET, ROCK1, ROCK2, ROS1, RPS6KA3, SIK2, STK3, TAOK1, TYK2, TYRO3, YES1"
10364826,420.5,COC1CCC(CC1)C(=O)NC2=NC=CC(=C2)C3=CC(=NC=C3)NC4=CC=C(C=C4)F,ACGBFWCBVIXTPZ-UHFFFAOYSA-N,4,JNK Inhibitor II,"ABCB1, ADAM17, AGER, AHR, AIFM1, AKT1, ALDH1A1, APOA1, APOD, APP, AQP1, AR, ATF2, ATF3, AURKB, BAD, BAG3, BAK1, BAX, BBC3, BCL2, BCL2L1, BCL2L11, BDNF, BECN1, BID, BIRC2, BIRC5, BLK, BNIP3, BRSK1, CAMK2B, CAMK2D, CAMK2G, CASP1, CASP2, CASP3, CASP4, CASP6, CASP7, CASP8, CASP9, CAT, CCL2, CCL8, CCN2, CCNB1, CCND1, CCR2, CD14, CD207, CDC25C, CDC7, CDH1, CDH5, CDK1, CDK2, CDK5, CDKN1A, CEBPA, CEBPB, CEBPD, CHEK1, CHEK2, CLK2, CLK4, CREB1, CRH, CSF1R, CSF2, CSNK1A1, CSNK1D, CSNK1G2, CSNK1G3, CSNK2A1, CXCL10, CXCL3, CXCL8, CYCS, CYGB, CYP17A1, CYP19A1, CYP1A1, CYP1A2, CYP2C9, CYP2D6, CYP2E1, CYP3A4, CYP4F11, CYP7A1, DAPK3, DDIT3, DIO1, DYRK1A, DYRK3, EDN1, EGF, EGFR, EGR1, ELK1, EPOR, ERBB2, ERBB4, ERN1, ETFA, EZH2, F2, F3, FADD, FAS, FASLG, FER, FES, FGF19, FGF2, FGF7, FGFR1, FGFR3, FLT1, FLT3, FLT4, FOS, FOXO1, FOXO3, FRK, GABPA, GADD45A, GADD45B, GCH1, GCLC, GCLM, GDF15, GLB1, GP1BA, GSK3A, GSK3B, GYPA, H2AX, H3-4, HAT1, HBEGF, HIF1A, HIPK2, HIPK4, HMOX1, HNF4A, HSF1, HSPA5, HSPA6, HSPA9, IBSP, ICAM1, IFNG, IGF1, IL12A, IL12B, IL18, IL1A, IL1B, IL6, INSR, IRAK4, IRS1, ITGA2B, ITGAM, ITGB3, INS1, Tyrosine-protein kinase JAK3, JUN, JUND, KDR, KEAP1, KIT, KLF6, LCK, LDLR, LEP, LYN, MAP1LC3B, MAP2K6, MAP3K1, MAP3K20, MAP4K2, MAP4K4, MAPK1, JNK, JNK3, MAPK10, MAPK14, MAPK3, MAPK8, JNK1, JNK2, MAPK9, MARK3, MATK, MCL1, MCM2, MELK, MET, MIF, MINK1, MIR21, MIR328, MKNK2, MMP1, MMP12, MMP13, MMP14, MMP2, MMP3, MMP9, MUC5AC, MYC, NEK2, NEK4, NFE2L2, NFKB1, NFKBIA, NGF, NLRP3, NOS2, NQO1, NR0B2, NR1H3, NTRK1, NTRK2, NTRK3, OSM, PAPPA, PARP1, PBK, PDPK1, PHKG2, PIM1, PIM2, PIM3, PLAU, PLAUR, PLK4, POLB, PON1, PPARA, PPARD, PRF1, PRKCD, PRKCG, PRKD2, PRKD3, PTEN, PTGS2, PTX3, RAD51, RB1, RELA, RET, RIOX2, ROCK1, ROCK2, RPS6KA3, RPS6KB1, RUNX2, RXRA, S100A4, SAA1, SCD, SERPINB2, SERPINE1, SGK1, SGK2, SHC1, SIRT1, SLC18A2, SLK, SNAI1, SNAI2, SOD2, SOX2, SOX9, SP1, SPP1, SQSTM1, SREBF1, SREBF2, SRRT, ST8SIA3, STAT1, STAT3, STK17A, STK3, SULT1A1, SYK, TAOK1, TARDBP, TAT, TERT, TGFB1, TH, THPO, TIMP1, TIMP2, TNF, TNFRSF10B, TNFSF10, TOP1, TP53, TRHR, MPS1, TWIST1, TYK2, TYRO3, UBA7, UGT1A1, VCAM1, VDR, VEGFA, VIM, XIAP, YWHAZ, FOXO3A"
5353702,457,CN(CC=CC1=CC=C(C=C1)Cl)CC2=CC=CC=C2NS(=O)(=O)C3=CC=C(C=C3)OC,RUAOVVIUGUOYHA-AATRIKPKSA-N,5,KN92,"GRIA1, BDNF, CREB, MLCK, RyR"
3837,501,CN(CC=CC1=CC=C(C=C1)Cl)CC2=CC=CC=C2N(CCO)S(=O)(=O)C3=CC=C(C=C3)OC,LLLQTDSSHZREGW-UHFFFAOYSA-N,4.5,KN93,"GRIA1, BDNF, CREB, MLCK, RyR"
153999,468.5,CN(C)CC1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O,ZCBUQCWBWNUWSU-SFHVURJKSA-N,2.7,LY-333531,"BAD, PDF, PIM1, PIM2, PRKCA, PRKCB, PRKCD, PRKCG"
